x	y	Class
continuous	continuous	discrete
		class
0.2585658837438725	0.8835007641849223	C1
0.23822135543207718	0.8222928859134356	C1
0.15979179545757805	0.831493186681407	C1
0.24438197204834256	0.8422186062813146	C1
0.2169682595010146	0.8445976618835336	C1
0.25050012183556775	0.8250724149140057	C1
0.22415039288101926	0.8667561191993228	C1
0.24636768686548627	0.7657314535077973	C1
0.17884039160852644	0.7679128402400073	C1
0.1754617855369911	0.6967475706072223	C1
0.22157832952129525	0.7324900082902251	C1
0.22214287194000307	0.7026930151849532	C1
0.17427528782193305	0.6878672820865851	C1
0.12982366931416178	0.7630096827573213	C1
0.2147135358130487	0.7881120072797292	C1
0.14482600108317592	0.8211268252794683	C1
0.18210648133722823	0.7549627470044055	C1
0.24431406195317815	0.7349782429398528	C1
0.2595909324331806	0.875028825575211	C1
0.28189369417583043	0.7704366670663891	C1
0.32185758002377984	0.7905490432294902	C1
0.2962038767412841	0.8139259291835448	C1
0.29659260366221935	0.7748506903143166	C1
0.3250527777704191	0.8306943303347399	C1
0.35366256125035334	0.8008500853445728	C1
0.312377345638487	0.8062050796411323	C1
0.30927866065383414	0.6929619018083468	C1
0.350139118287797	0.7543750151697193	C1
0.2846789673171093	0.8186581364623997	C1
0.22396308001922527	0.7689733529785935	C1
0.1865521161482636	0.7959167471516637	C1
0.21840069554294406	0.7261189713901912	C1
0.2529697716754567	0.7406174990471575	C1
0.25031992802716035	0.6145404526481517	C1
0.2638679925045655	0.652443071042918	C1
0.7503159174294619	0.8898152646861562	C2
0.8163355085727901	0.9313513677051329	C2
0.766269350931272	0.8666434510059297	C2
0.7929208712823488	0.7982249495537133	C2
0.794558566287835	0.789557717495757	C2
0.6964357692035238	0.7455207396404003	C2
0.6845206314614286	0.723167833899889	C2
0.6830880913636154	0.6888515767334464	C2
0.6439027748753612	0.636707316852253	C2
0.5740030032676585	0.7007545057200226	C2
0.5804818344335431	0.6417689053084804	C2
0.5806555392931821	0.6587924172334538	C2
0.5004876861248934	0.6383329479441813	C2
0.47425678181515984	0.5320380912311964	C2
0.4478530266072378	0.5159339891164879	C2
0.40013544457301164	0.5164780205994963	C2
0.4213201258161608	0.48889123277965846	C2
0.4347006328049636	0.4099703213830365	C2
0.3927291883380722	0.45671821631766735	C2
0.3004458364328101	0.35110449904824514	C2
0.2976846852004847	0.3684407992331191	C2
0.3007810873236886	0.3770740395022825	C2
0.3196727340291467	0.32596493877059346	C2
0.2885274512104211	0.24692606139486975	C2
0.246883541401974	0.3332871326768327	C2
0.26547431341167316	0.27467215371188236	C2
0.2763068842359813	0.30150508927067377	C2
0.2825848161359732	0.24973680674105492	C2
0.1915061827588989	0.2957159794014952	C2
0.3054272342493259	0.16997302261964337	C2
0.2121326080070152	0.2026693266789342	C2
0.27382230281383185	0.16485478169944845	C2
0.2460626388348776	0.19739124714669334	C2
0.14000235107134598	0.17428237828282905	C2
0.18709345621776755	0.12864425698051113	C2
0.16956882635815593	0.14437390544983866	C2
0.12150880543196738	0.09293579257392456	C2
0.5177988438491777	0.4688950844899695	C2
0.4765027589539265	0.5258344818059962	C2
0.6192994425042766	0.5344713834585687	C2
0.3244155137374668	0.3222077815008497	C2
0.420270554983132	0.36879239292565125	C2
0.8560323798425037	0.9553319456240164	C2
0.9107263043776893	0.9287897126640152	C2
0.6175136267831359	0.3341528020069981	C3
0.7923514825139213	0.298673896381836	C3
0.668222545015744	0.21543981968444095	C3
0.8111652638538139	0.19924381175443312	C3
0.8605830355218336	0.2390486327246739	C3
0.8313511029590511	0.291022858858025	C3
0.8429184625735932	0.39745540340359486	C3
0.8139258460718619	0.2506947572689902	C3
0.838921505208594	0.22779569267161737	C3
0.7591025708836623	0.28245581388355634	C3
0.6462629840563164	0.20741189813271813	C3
0.697583230875513	0.25905052045462756	C3
0.743694008669452	0.29180300040237855	C3
0.818488128268058	0.37023674463720524	C3
0.8936426094271829	0.3437519403763707	C3
0.8679424352337315	0.295550647388513	C3
0.811375726799918	0.17401973341959023	C3
0.8124711982549466	0.1475137121494039	C3
0.7101949539581678	0.12353658395805553	C3
0.780411558263126	0.19911822477896232	C3
0.7573087111143377	0.2090386315789183	C3
0.6970309624761096	0.1447433315443936	C3
0.8509367097772015	0.18064733689868745	C3
0.759113094210752	0.2557802513942795	C3
0.6459362158770622	0.24231282854451552	C3
0.7639578775762058	0.28215183382392794	C3
0.8421923644945754	0.3182421661489621	C3
