x	y	Class
continuous	continuous	discrete
		class
0.139609941500259	0.09456119748024742	yes
0.141923687901533	0.1031366715462749	yes
0.0785996444024133	0.1704897659288415	yes
0.1801835270279797	0.2102915823360467	yes
0.1659871413966088	0.2068553585768062	yes
0.2070717619688517	0.1698842735228998	yes
0.1977157390491052	0.2173832571696764	yes
0.2803550989350901	0.2152183406229627	yes
0.2184923723563976	0.3278900352229036	yes
0.2151137662848623	0.3129391327508939	yes
0.2838885849822356	0.3738811143335547	yes
0.342987003743039	0.3363304154130035	yes
0.3404359690511074	0.311812550045536	yes
0.3035371087810259	0.3656322597242541	yes
0.3827624066016455	0.3946114371543016	yes
0.2996575449558156	0.4431336667845995	yes
0.3161679400562212	0.3982922795015549	yes
0.3727109519939038	0.417076304513399	yes
0.4144224763058204	0.5765111516869557	yes
0.4631598918803843	0.4893648312625125	yes
0.5125647255254459	0.5327383248714515	yes
0.4850228326835277	0.5658073430946052	no
0.4872997491638854	0.5655006333017739	no
0.5233126815097748	0.6465438172218552	no
0.5764689292622007	0.6225148515931476	no
0.5937175899924301	0.6840842130504824	no
0.6302708857556482	0.5630873294024175	no
0.6824604807461456	0.6264388692176098	no
0.6623168792015964	0.743059504763426	no
0.6374765935327388	0.7573427942556744	no
0.6265002834936911	0.8249931439589613	no
0.677230758482596	0.764887500466588	no
0.7080234554962638	0.8162161307461313	no
0.7393610239175713	0.7366613192388016	no
0.7774555526674681	0.7997634815332259	no
0.7012229888844785	0.8239087652562818	no
0.7993418025379881	0.8983981179901956	no
0.7719339196095393	0.8666434510059297	no
0.8118027668765732	0.8292397728148307	no
0.8417633052733959	0.8593410698332712	no
0.7662987829021539	0.8463189152390319	no
0.5070308128757196	0.4304654393730932	no
0.5962313716301834	0.4698093874518046	no
0.3625625305214182	0.5572318322456395	no
